epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,634.389,0.89374,0.53535,1.18785,0.94905,0.95425,0.97376,0.67714,1.07147,0.52734,1.42046,0.0006734,0.0006734,0.0006734
69,643.754,0.87752,0.52856,1.16873,0.9408,0.96078,0.97439,0.66719,1.11975,0.54243,1.4747,0.0006536,0.0006536,0.0006536
70,653.386,0.86619,0.52217,1.16766,0.94174,0.95079,0.96906,0.67423,1.06882,0.53411,1.43444,0.0006338,0.0006338,0.0006338
71,663.034,0.89482,0.54947,1.18528,0.96608,0.93064,0.96555,0.6732,1.08363,0.52697,1.45494,0.000614,0.000614,0.000614
72,672.549,0.89901,0.54052,1.18424,0.97866,0.95425,0.97318,0.64884,1.13646,0.52204,1.49371,0.0005942,0.0005942,0.0005942
73,681.844,0.89194,0.53313,1.18203,0.95015,0.94118,0.97273,0.6413,1.10461,0.55897,1.49152,0.0005744,0.0005744,0.0005744
74,691.152,0.87459,0.51695,1.17462,0.92857,0.96078,0.96883,0.66303,1.10499,0.54607,1.45926,0.0005546,0.0005546,0.0005546
75,700.575,0.86718,0.52685,1.17128,0.9599,0.93878,0.96505,0.67145,1.11811,0.52234,1.48805,0.0005348,0.0005348,0.0005348
76,710.32,0.85928,0.50997,1.16807,0.95185,0.95425,0.97479,0.67106,1.08932,0.51363,1.44367,0.000515,0.000515,0.000515
77,719.918,0.85272,0.51504,1.16352,0.95987,0.95425,0.9741,0.67067,1.1199,0.52854,1.45913,0.0004952,0.0004952,0.0004952
78,729.489,0.84508,0.47809,1.14955,0.9586,0.94771,0.9679,0.6735,1.07728,0.52549,1.43716,0.0004754,0.0004754,0.0004754
79,739.097,0.86166,0.51138,1.17207,0.96663,0.94675,0.96807,0.68562,1.07872,0.50346,1.44222,0.0004556,0.0004556,0.0004556
80,748.917,0.84084,0.49274,1.14738,0.98544,0.95425,0.97581,0.6941,1.06958,0.49734,1.42405,0.0004358,0.0004358,0.0004358
81,758.466,0.82324,0.49619,1.1449,0.93836,0.96078,0.96775,0.69254,1.05182,0.51914,1.4148,0.000416,0.000416,0.000416
82,768.228,0.8237,0.48424,1.14018,0.97312,0.94657,0.97757,0.67458,1.10608,0.51097,1.46625,0.0003962,0.0003962,0.0003962
83,777.724,0.82277,0.49968,1.14755,0.97835,0.94771,0.97724,0.67413,1.10119,0.49618,1.4609,0.0003764,0.0003764,0.0003764
84,787.347,0.79927,0.47297,1.12996,0.96654,0.94412,0.97243,0.67988,1.0698,0.52443,1.44427,0.0003566,0.0003566,0.0003566
85,796.788,0.8008,0.47006,1.13678,0.96732,0.95425,0.97586,0.69551,1.04292,0.52444,1.40321,0.0003368,0.0003368,0.0003368
86,806.457,0.81878,0.48406,1.14324,0.96633,0.96078,0.97691,0.68238,1.05601,0.50447,1.43142,0.000317,0.000317,0.000317
87,816.072,0.80415,0.48332,1.1461,0.97327,0.95194,0.98143,0.68169,1.08832,0.49477,1.46158,0.0002972,0.0002972,0.0002972
88,825.423,0.78657,0.47842,1.12832,0.98069,0.94771,0.96714,0.68172,1.08078,0.50924,1.45798,0.0002774,0.0002774,0.0002774
89,834.875,0.78903,0.46668,1.13821,0.97213,0.93464,0.96905,0.69239,1.05922,0.49096,1.41604,0.0002576,0.0002576,0.0002576
90,844.19,0.77419,0.45328,1.11954,0.97954,0.93888,0.97868,0.70112,1.05585,0.47246,1.42509,0.0002378,0.0002378,0.0002378
91,911.919,0.67022,0.39427,1.08891,0.97544,0.93464,0.95749,0.66622,1.06572,0.48244,1.43194,0.000218,0.000218,0.000218
92,921.852,0.65916,0.35147,1.08535,0.96506,0.94771,0.97202,0.67455,1.10286,0.48611,1.48011,0.0001982,0.0001982,0.0001982
93,931.383,0.64019,0.34334,1.07889,0.95389,0.94652,0.97353,0.6971,1.06024,0.47939,1.42219,0.0001784,0.0001784,0.0001784
94,941.068,0.62437,0.32945,1.06825,0.9662,0.94118,0.97003,0.6892,1.06563,0.47956,1.44886,0.0001586,0.0001586,0.0001586
95,950.302,0.61674,0.32995,1.05727,0.97651,0.93464,0.97321,0.69123,1.05884,0.46413,1.43732,0.0001388,0.0001388,0.0001388
96,959.563,0.61568,0.32498,1.05145,0.96506,0.94118,0.97879,0.69937,1.05387,0.48483,1.42224,0.000119,0.000119,0.000119
97,968.672,0.61418,0.32278,1.04452,0.9662,0.93419,0.9725,0.68586,1.05908,0.48423,1.43088,9.92e-05,9.92e-05,9.92e-05
98,978.032,0.5901,0.3151,1.04111,0.97955,0.93912,0.97371,0.68212,1.06113,0.48786,1.43434,7.94e-05,7.94e-05,7.94e-05
99,987.179,0.5969,0.3141,1.03919,0.96627,0.93608,0.97418,0.69192,1.05224,0.47794,1.43167,5.96e-05,5.96e-05,5.96e-05
100,996.307,0.58587,0.31239,1.04443,0.96644,0.94097,0.9742,0.69688,1.05048,0.47953,1.42883,3.98e-05,3.98e-05,3.98e-05
